AH_hour,H_hour,T1_hour,T2_hour,T3_hour,T4_hour,T5_hour,quality_class
7.61,192.7421667,240,325,549,349,222,Good
8.98,192.872,242,350,538,342,219,Good
7.37,192.675,227,386,557,354,218,Good
6.96,182.3773333,217,350,559,366,218,Good
4.95,168.2238333,222,373,562,373,218,Good
8.92,167.9946667,222,389,549,381,219,Good
9.42,168.3105,225,393,537,377,227,Good
7.99,167.8128333,237,391,527,367,231,Good
7.67,167.9658333,267,380,534,350,207,Good
5.64,167.8181667,287,366,566,340,241,Good
7.07,168.351,297,353,621,339,225,Good
7.71,168.2515,295,344,674,332,219,Good
9.25,168.0593333,296,338,628,337,220,Good
5.75,167.2243333,300,333,543,338,228,Good
7.04,167.8851667,300,331,519,321,240,Good
6.24,168.0243333,301,334,519,311,252,Good
5.88,161.8576667,306,340,522,306,264,Good
8.02,160.6911667,313,355,538,297,262,Good
6.77,163.0615,307,364,549,291,263,Good
5.29,163.101,291,361,533,292,266,Good
9.07,162.8146667,280,345,487,308,262,Good
7.55,162.6476667,266,325,494,323,251,Good
8.7,163.0461667,245,299,541,337,233,Good
7.44,162.9776667,223,308,537,349,217,Bad
7.31,162.7245,230,322,536,343,211,Bad
7.78,163.4088333,230,325,541,335,220,Bad
9.15,162.8453333,236,326,536,352,237,Bad
6.36,162.7898333,227,323,530,362,256,Good
7.91,163.0021667,236,307,527,369,273,Good
8.78,163.0811667,236,303,525,378,269,Good
7.08,163.1285,229,306,532,355,267,Good
9.96,162.8398333,225,307,535,392,267,Good
6.12,166.2411667,226,308,532,374,270,Bad
8.46,149.9753333,226,306,525,367,269,Good
7.62,150.2246667,225,305,519,394,269,Good
6.79,149.9185,232,304,523,413,271,Good
7.74,149.9816667,231,308,542,405,266,Good
6.95,150.3796667,228,321,535,356,253,Good
7.5,149.7555,230,336,506,342,246,Good
7.85,151.544,231,346,504,342,234,Good
8.05,156.1963333,231,352,510,336,222,Good
6.33,168.5786667,230,334,516,322,205,Good
9.67,185.8595,224,329,519,296,189,Good
7.15,178.3505,236,341,515,286,191,Good
6.7,176.1758333,251,313,516,308,218,Good
7.94,179.5738333,256,303,506,277,222,Good
6.08,198.7286667,247,315,520,278,210,Good
8.7,186.8975,239,327,518,318,214,Good
8.05,182.0598333,239,291,507,314,215,Good
7.39,181.8188333,237,297,483,319,210,Good
9.38,182.199,236,307,464,320,215,Good
7.19,182.3396667,230,309,446,319,228,Good
8.6,181.5998333,245,316,430,318,238,Good
7.58,181.9223333,233,341,410,312,241,Bad
5.96,182.1385,239,354,406,315,248,Bad
6,172.1408333,240,368,405,317,267,Bad
6.64,153.6098333,240,380,416,347,278,Bad
7.81,152.9395,243,387,446,342,290,Bad
7.22,152.9383333,250,385,473,333,300,Bad
6.06,152.7876667,264,379,488,339,290,Bad
5.82,153.2045,284,379,503,367,265,Good
7.33,152.927,284,381,512,375,245,Good
6.89,152.8226667,272,381,516,375,237,Good
7.18,154.2761667,257,375,507,378,245,Good
7.91,155.8073333,242,364,506,373,258,Good
6.83,177.2195,228,357,519,357,259,Good
6.48,182.9148333,215,357,516,341,254,Good
6.83,188.3631667,209,362,511,331,248,Good
5.12,189.281,208,369,519,312,244,Good
7.98,189.2645,208,352,522,302,235,Good
7.13,189.2543333,207,340,509,299,214,Good
9.27,188.607,210,330,505,311,212,Good
6.86,189.0326667,219,330,547,329,214,Good
9.97,189.0121667,232,337,599,341,206,Good
8.08,189.2851667,250,336,571,356,216,Good
8.82,188.8955,259,329,518,379,209,Good
6.84,189.0635,259,327,497,385,210,Good
9.12,189.1306667,255,334,483,369,213,Good
5.84,185.1146667,244,338,474,362,210,Good
8.37,170.784,231,343,450,341,209,Good
8.58,171.3733333,229,353,458,339,208,Good
7.37,188.728,210,363,437,331,210,Good
9.65,174.3338333,225,377,416,327,211,Bad
6.74,157.9101667,243,377,431,325,209,Bad
8.11,163.7148333,254,373,438,326,209,Bad
6.26,169.4136667,262,373,433,331,211,Good
8.28,182.2711667,277,374,433,339,213,Bad
9.88,182.6141667,282,365,436,347,210,Bad
7.56,181.6698333,286,348,438,347,209,Bad
7.9,182.1675,282,333,433,338,216,Bad
9.58,181.7131667,273,332,455,327,228,Bad
6.93,180.8806667,277,327,458,344,216,Bad
7.11,180.2598333,281,316,441,372,207,Bad
9.38,179.6468333,283,313,441,368,207,Bad
7.46,180.2186667,271,319,453,362,210,Bad
5.9,180.0013333,261,331,447,361,208,Bad
6.83,180.1815,253,346,437,356,212,Bad
7.78,180.0388333,269,356,418,339,212,Good
7.46,185.873,281,354,405,324,211,Good
5.41,185.7256667,270,342,429,315,210,Good
8.32,192.34,251,338,471,311,211,Good
7.67,192.9553333,237,347,456,316,209,Good
6.65,192.9858333,232,349,477,327,206,Good
8.65,192.3323333,245,356,489,332,208,Good
7.67,175.741,256,359,491,343,222,Good
7.69,171.0803333,256,340,482,413,244,Good
8.43,171.1126667,259,341,479,453,251,Good
7.68,170.9675,259,344,487,292,236,Good
8.1,171.1525,255,339,508,249,229,Good
8.74,170.7708333,240,342,528,334,231,Good
6.1,172.4173333,232,344,519,390,234,Good
7.5,176.7516667,232,343,535,382,238,Good
5.16,177.194,238,343,543,388,247,Good
7.88,184.8086667,242,342,473,430,262,Good
7,195.9145,243,345,466,397,279,Good
7.81,196.0136667,225,346,478,368,286,Bad
5.78,195.918,218,341,489,378,287,Bad
9.12,182.5818333,221,346,499,387,289,Good
7.47,160.5713333,221,345,508,385,289,Good
8.18,168.576,228,303,498,394,289,Good
7.49,171.7345,242,339,483,360,290,Good
6.69,171.8501667,256,297,466,378,290,Good
8.39,171.5775,264,353,444,390,289,Bad
7,171.7395,265,372,433,383,288,Bad
7.41,171.8918333,266,362,434,385,290,Bad
7.16,172.184,263,352,430,373,292,Bad
7.26,172.421,260,321,441,353,291,Bad
7.78,171.886,261,324,459,340,289,Bad
7.09,171.9795,262,368,477,328,280,Bad
8.34,172.1148333,256,355,486,312,287,Bad
6.73,172.1348333,239,355,503,296,281,Good
7.89,168.2578333,222,362,520,303,275,Good
7.46,172.4791667,208,359,524,304,270,Good
7.62,176.8941667,199,349,519,304,269,Good
8.21,176.967,200,360,537,302,258,Good
6.34,176.9966667,200,368,564,305,255,Good
8.8,177.214,201,362,537,307,260,Good
8.58,176.8295,203,340,505,316,259,Good
7.79,177.0315,196,349,473,317,265,Good
6.48,177.2391667,201,370,462,319,271,Good
6.85,177.2451667,198,369,445,286,260,Good
6.59,177.254,191,370,435,354,239,Good
8.77,177.1578333,201,384,432,382,226,Good
7.49,176.956,201,395,431,371,214,Good
7.02,177.0985,200,395,442,387,187,Good
6.29,176.7035,203,393,448,384,224,Good
7.41,176.7978333,202,382,435,383,229,Good
7.21,177.2888333,200,367,431,368,249,Good
6.83,176.8043333,201,359,443,365,259,Good
9.6,177.2061667,207,362,455,352,261,Bad
5.18,176.869,203,345,455,380,269,Bad
8.18,177.3078333,200,318,444,382,257,Bad
6.93,177.074,200,207,436,380,243,Bad
7.42,176.8736667,203,276,436,381,236,Good
9.09,177.167,213,342,442,380,229,Good
7.98,176.8363333,228,351,442,383,228,Good
9.23,174.9311667,241,341,436,380,228,Good
7,150.8045,261,335,440,420,221,Bad
6.86,150.9218333,276,340,440,427,225,Bad
5.89,150.8988333,285,354,441,383,231,Bad
7.34,151.6388333,289,367,452,374,244,Bad
5.3,150.5911667,291,371,476,389,250,Bad
7.52,151.0985,293,361,489,385,232,Bad
7.63,151.0635,294,358,486,382,233,Good
6.6,151.0496667,295,371,465,378,238,Good
6.71,153.0755,294,384,442,369,253,Good
8.32,157.2185,292,384,456,364,275,Good
8.16,188.2451667,297,383,494,356,233,Good
6.53,190.144,299,383,501,351,238,Good
7.57,169.8298333,305,381,512,332,229,Good
8.64,170.2381667,292,375,534,313,218,Good
7.38,170.3425,252,369,534,305,211,Good
4.62,170.0203333,206,367,527,301,206,Good
5.63,169.9578333,257,368,517,303,223,Good
8.11,194.088,270,370,505,298,249,Good
7.04,188.8768333,247,370,482,283,230,Good
8.29,176.3461667,243,367,461,291,235,Good
7,155.93,234,370,451,295,232,Good
8.42,155.9241667,231,381,459,292,234,Good
6.91,157.746,244,381,474,300,240,Good
8.23,164.8993333,254,369,495,313,243,Good
7.48,171.091,263,351,505,334,244,Good
7.56,174.0726667,256,332,511,359,244,Good
6.68,166.4463333,252,315,529,367,240,Good
9.18,152.1031667,251,311,537,359,233,Good
7.26,152.2021667,244,312,527,347,238,Good
7.69,151.8168333,248,321,509,354,253,Good
6.77,151.994,246,322,491,354,266,Good
9.9,152.1405,247,320,476,350,274,Good
7.65,151.4411667,248,338,462,352,273,Good
6.48,156.874,248,332,454,347,265,Good
8.07,156.7083333,247,323,457,356,253,Good
9.08,157.0245,245,316,464,350,251,Good
8.82,156.5536667,245,321,467,337,248,Good
5.99,156.8031667,243,326,456,331,246,Good
7.65,159.637,244,321,454,336,247,Good
8.32,164.9608333,251,295,459,351,249,Good
8.14,168.0038333,270,299,459,370,249,Good
9.67,181.9561667,274,308,460,377,248,Good
5.89,181.902,286,309,451,376,250,Bad
8.42,180.9873333,295,310,446,372,250,Bad
6.76,179.821,287,309,458,365,247,Bad
7.25,175.2888333,296,312,469,360,249,Bad
8.39,169.7788333,292,321,489,357,259,Good
8.46,170.0703333,269,334,506,358,266,Good
7.97,154.2988333,250,345,517,359,269,Good
7.91,152.3931667,247,349,510,359,274,Good
9.86,151.7368333,255,344,516,361,271,Good
7.88,152.2953333,258,334,536,362,260,Good
7.11,153.4205,266,327,545,362,247,Bad
6.42,174.3906667,267,343,561,359,232,Bad
7.49,174.171,269,362,564,353,229,Bad
7.74,173.8211667,275,379,562,341,235,Good
9.79,182.5641667,284,386,562,329,243,Good
7.24,183.8706667,288,383,551,319,242,Good
6.66,183.6853333,281,368,536,313,234,Good
7.41,183.7375,271,362,535,309,229,Good
7.37,190.6998333,257,373,532,313,228,Good
7.1,191.9945,243,378,499,314,226,Good
5.19,192.2148333,251,369,483,320,223,Good
8.93,191.5121667,257,363,495,334,255,Good
7.3,192.1883333,261,359,511,339,269,Good
5.96,191.8178333,278,355,521,336,244,Good
7.77,191.893,295,356,529,329,245,Good
5.77,192.1078333,297,354,535,332,264,Good
5.6,192.8398333,298,348,528,332,273,Good
6.26,191.991,296,348,507,328,268,Good
7.79,152.9588333,290,347,494,326,266,Good
6.05,152.846,275,360,507,321,269,Good
8.15,153.148,264,372,520,325,265,Good
5.48,178.6168333,271,375,516,320,268,Good
6.92,190.9586667,282,364,503,318,274,Good
9.66,191.3801667,298,351,500,320,274,Good
7.84,171.4241667,274,349,489,313,272,Good
7.57,167.1855,279,353,490,312,271,Bad
7.4,166.7653333,295,346,492,314,269,Good
6.87,167.5175,296,331,492,317,272,Bad
7.41,166.3671667,290,339,489,321,274,Good
7.08,156.6581667,283,344,480,325,273,Bad
6.54,156.3123333,270,357,481,329,270,Good
6.73,164.1186667,252,334,474,338,265,Good
8.96,163.94,243,338,406,347,255,Good
6.84,164.0605,222,340,507,348,264,Bad
7.36,164.2921667,205,333,455,331,278,Good
7,164.1581667,202,318,447,326,268,Good
8.1,152.571,217,313,450,308,269,Good
7.78,151.9126667,236,316,448,298,268,Good
8.66,152.621,241,328,457,305,263,Good
7.38,177.9606667,233,343,452,310,250,Good
7.81,177.8101667,227,347,449,310,238,Good
9.36,177.6648333,231,342,453,309,223,Good
6.93,178.01,231,339,459,312,223,Good
9.25,178.1143333,230,339,470,319,228,Good
6.86,177.9673333,226,340,467,313,241,Good
8.4,177.7233333,219,341,454,302,249,Bad
8.2,177.9028333,214,340,450,297,257,Good
9.06,178.0963333,212,341,449,302,257,Good
8.84,177.9853333,215,343,450,316,254,Good
8.65,178.0016667,216,340,447,335,253,Good
8.91,177.9298333,218,343,449,349,256,Good
8.62,177.9728333,227,333,447,341,255,Good
6.75,178.0315,240,278,461,335,249,Bad
5.36,177.9275,257,291,429,333,249,Bad
6.24,178.0585,268,340,440,333,254,Bad
7.46,177.9543333,287,319,459,329,249,Bad
9.2,177.9306667,290,319,474,337,245,Bad
7.1,177.931,302,331,460,335,247,Bad
6.42,178.051,291,330,432,319,243,Bad
7.17,181.6181667,272,334,441,314,231,Bad
6.82,191.1681667,271,343,461,309,223,Bad
7.31,182.3115,263,359,470,315,222,Bad
6.41,158.7018333,267,371,480,311,219,Bad
6.81,156.8801667,276,388,493,315,220,Good
7.14,156.8671667,264,387,527,314,228,Good
7.58,169.2881667,250,386,527,311,218,Good
7.77,160.155,244,389,510,330,212,Good
8.72,164.5051667,241,390,507,341,206,Good
8.92,187.8335,238,400,545,334,208,Bad
9.12,184.8473333,235,386,541,329,205,Good
8.46,185.0951667,236,387,525,330,205,Good
8.86,184.6668333,237,387,515,328,214,Good
6.6,185.1855,237,385,517,326,225,Good
4.57,184.7291667,237,391,523,332,238,Good
8.94,184.5728333,239,386,521,357,252,Good
6.15,185.1723333,235,375,529,372,264,Good
8.64,185.0528333,261,362,536,382,277,Good
7.18,185.0338333,251,361,525,387,292,Good
9.65,185.0623333,238,358,530,382,290,Good
5.99,192.5143333,238,343,532,362,290,Good
7.34,191.9373333,237,337,534,349,283,Good
7.19,164.2848333,239,330,530,339,271,Good
7.7,164.8658333,239,327,529,330,276,Good
7.67,164.9891667,239,327,526,337,275,Good
8.48,164.6613333,234,337,532,333,270,Good
8.26,164.7,228,355,554,327,258,Good
5.88,165.9991667,226,370,566,327,243,Good
5.97,169.102,234,384,569,330,226,Bad
7.13,169.0835,230,393,573,329,209,Bad
7.36,168.8701667,227,401,571,331,204,Bad
7.5,169.3225,220,395,569,337,210,Bad
5.9,168.9276667,219,387,547,332,207,Bad
8.32,168.8671667,228,366,535,331,206,Bad
5.85,168.6741667,241,357,528,313,202,Bad
7.57,168.693,257,346,501,330,206,Good
7.6,186.9105,269,332,511,341,214,Good
8.75,173.9016667,283,325,526,340,231,Good
8.68,172.4873333,288,328,529,333,240,Good
8.67,173.082,286,323,530,335,236,Good
6.37,173.1335,285,328,518,336,236,Good
5.71,172.5828333,279,328,495,312,234,Good
7.68,173.0376667,269,318,489,312,237,Good
8.61,173.0055,255,332,472,325,240,Good
8.45,173.6411667,240,318,459,342,233,Good
6.64,174.3691667,227,322,457,334,222,Good
7.36,173.9776667,220,343,459,332,213,Good
8.38,174.0783333,219,357,456,326,208,Good
6,166.8391667,219,368,471,315,210,Good
6.89,162.8941667,221,363,493,311,220,Good
7.19,162.9373333,222,363,509,324,225,Good
6.78,162.466,211,314,531,332,226,Good
6.56,163.2753333,218,291,540,328,228,Good
8.63,181.9453333,223,351,522,337,243,Bad
8.33,189.8293333,224,331,505,342,259,Good
7.61,156.5721667,223,314,499,340,248,Good
7.45,152.6455,220,325,493,339,242,Good
8.62,151.6041667,220,328,455,344,235,Good
7.65,151.915,221,329,441,347,239,Good
6.74,169.7425,216,316,453,345,244,Good
8.77,174.0096667,225,324,445,356,246,Good
10.74,183.9161667,257,332,443,359,248,Good
7.11,186.022,261,335,440,381,248,Bad
6.37,186.748,270,342,440,404,253,Bad
8.87,185.8278333,285,340,449,437,230,Bad
5.17,175.4895,298,333,452,391,247,Bad
7.29,191.6801667,299,328,450,286,246,Bad
6.8,192.929,297,349,445,229,247,Bad
8.5,193.3261667,299,345,464,249,245,Bad
8.26,191.5686667,288,347,477,307,251,Bad
7.55,168.0495,272,343,518,280,257,Bad
7.7,171.2793333,256,345,508,228,263,Good
6.9,171.7033333,239,343,486,342,268,Good
8.41,172.3033333,231,328,480,355,273,Good
7.79,171.6763333,235,314,469,358,278,Good
8.84,157.3128333,248,302,486,352,275,Good
7.75,155.6545,264,300,493,354,263,Good
6.05,155.9216667,274,294,493,372,254,Good
7.19,156.195,277,294,483,363,237,Good
6.94,156.162,277,296,474,358,236,Good
6.5,156.1373333,271,308,476,367,224,Good
6.33,156.2378333,274,321,495,371,227,Good
6.57,156.0141667,283,326,511,373,217,Good
8.88,155.8651667,286,328,511,375,227,Good
6.63,155.7636667,276,328,529,357,234,Good
8.49,156.354,276,322,551,370,223,Good
8.37,155.7768333,279,310,553,372,223,Bad
7.32,155.7886667,275,309,536,358,221,Bad
9.99,156.0278333,272,318,528,348,221,Good
7.35,156.23,273,329,525,323,223,Good
6.76,156.0555,278,309,520,320,220,Good
7.84,156.0428333,277,300,506,322,216,Good
4.75,155.736,275,300,505,328,223,Good
9.9,155.8545,268,332,495,338,236,Good
8.59,156.1303333,274,345,502,337,229,Good
9.18,155.8698333,271,337,509,332,212,Good
8,155.719,274,310,510,330,224,Good
6.19,161.8711667,273,313,502,327,225,Good
7.97,171.4966667,278,397,532,321,226,Good
6.92,177.476,274,428,535,314,231,Good
6.89,197.9808333,266,385,518,306,230,Good
8.18,198.1378333,265,361,507,308,220,Good
8.49,197.6051667,276,350,511,323,227,Good
8.27,197.433,280,352,516,310,225,Good
5.15,197.641,279,344,510,330,224,Good
6.23,198.0156667,268,337,503,349,223,Good
5.56,193.0218333,258,329,523,335,221,Good
10.08,167.7306667,249,335,549,326,217,Good
7.35,178.4076667,245,339,526,341,215,Good
6.24,182.967,248,338,507,340,221,Good
8.97,180.413,258,323,519,345,222,Good
7.56,171.0395,262,322,511,342,234,Good
8.54,170.7216667,257,351,506,341,245,Good
6.15,170.9618333,257,379,502,321,253,Good
7.72,171.169,260,375,498,314,254,Good
6.32,183.259,258,377,498,318,255,Good
6.07,197.6243333,257,389,479,316,265,Bad
8.94,197.9283333,259,386,437,315,265,Bad
6.73,197.7291667,260,386,426,314,277,Bad
7.78,198.1366667,260,389,421,312,273,Bad
7.53,198.1358333,255,390,422,316,270,Bad
6.91,197.7806667,259,388,427,313,269,Bad
8.88,198.2725,259,385,436,318,273,Bad
9.94,183.7438333,253,380,450,336,278,Bad
8.47,186.1816667,253,370,454,343,276,Bad
7.2,188.6163333,244,364,458,342,263,Bad
7.26,187.771,253,364,463,335,272,Bad
6.9,188.0823333,244,371,460,329,276,Bad
6.51,187.9325,245,345,457,339,265,Bad
7.71,187.7641667,246,327,437,351,247,Bad
6.05,188.4168333,245,334,426,357,232,Bad
7.96,171.1985,245,358,415,353,226,Bad
7.81,160.0151667,243,376,414,359,220,Bad
6.94,160.1125,241,377,450,355,222,Bad
6.26,159.8661667,241,375,457,340,227,Good
7.72,164.071,243,380,480,342,236,Good
9.57,163.5588333,243,369,490,342,245,Good
9.84,161.8711667,245,354,509,329,251,Good
7.97,161.909,243,402,523,325,253,Good
8.51,161.8006667,243,386,541,328,255,Good
7.6,162.0883333,245,381,543,340,253,Good
7.06,174.715,246,360,557,332,248,Good
5.83,187.2213333,241,303,564,321,250,Bad
7.71,187.047,231,242,567,321,257,Good
7.66,187.243,219,266,567,328,248,Good
7.14,187.1383333,223,354,570,325,238,Bad
6.12,187.4828333,229,358,579,329,236,Bad
6.54,187.5966667,230,396,572,354,237,Good
6.87,184.9375,218,388,558,361,236,Good
6.01,176.3101667,217,394,537,368,234,Good
9.05,176.3743333,216,393,519,376,229,Good
7.71,175.8573333,223,389,501,386,226,Good
5.86,176.2363333,230,388,493,388,229,Good
6.18,175.97,241,386,494,378,200,Good
6.27,192.4721667,252,380,493,360,235,Good
8.47,189.9445,229,360,515,343,268,Good
6.96,172.3295,233,345,523,326,260,Good
8.6,171.9723333,215,336,536,327,258,Good
8.46,172.0625,214,341,489,344,250,Good
8.12,171.8873333,213,351,474,333,248,Good
9.52,171.9325,212,352,465,321,262,Good
7.24,166.0086667,212,361,477,335,269,Good
8.22,182.637,211,364,465,347,283,Good
8.01,183.513,214,355,472,366,298,Good
6.17,183.7245,209,349,489,380,306,Good
7.7,183.0655,210,336,488,391,303,Good
7.29,182.3223333,213,312,486,376,299,Good
7.8,183.2285,213,312,480,361,296,Good
7.42,183.2523333,211,313,470,366,297,Good
6.26,183.392,212,315,462,364,299,Good
9.1,168.693,209,321,470,364,300,Good
6.3,151.1421667,200,318,466,376,301,Good
10.2,154.905,206,318,465,372,299,Good
8.88,176.9083333,207,333,466,372,289,Good
7.26,177.1405,196,344,486,375,271,Good
7.86,176.9646667,204,331,509,375,255,Good
6.76,176.7498333,210,332,508,371,242,Good
5.62,172.6105,221,327,492,365,234,Good
7.57,168.202,242,324,477,366,238,Good
5.41,167.8925,256,324,473,370,235,Good
7.89,168.2635,267,324,489,372,238,Good
8.53,156.5636667,272,324,509,372,233,Good
7.2,150.1078333,272,323,523,370,224,Good
5.62,149.6986667,270,326,527,366,219,Good
6.4,150.1305,269,310,523,352,215,Bad
7.91,163.7158333,272,339,513,356,214,Good
7.38,180.1071667,272,351,504,347,222,Good
7.28,185.5923333,274,364,500,339,223,Good
9.18,187.0416667,278,373,500,351,227,Good
7.2,186.916,287,373,502,352,237,Good
6.85,187.2178333,289,374,506,363,237,Good
6.94,187.3115,278,376,512,380,238,Good
5.98,187.0558333,268,371,499,391,230,Good
7.5,187.365,253,374,503,390,227,Good
5.18,186.8778333,236,378,500,387,220,Good
5.3,186.891,221,377,500,389,208,Good
5.95,187.1748333,214,374,493,393,208,Good
7.4,187.009,221,373,481,386,205,Good
8.06,187.1236667,225,369,460,381,203,Good
5.93,186.7785,223,377,442,380,199,Good
5.66,187.4871667,220,375,424,381,258,Bad
6.06,187.0863333,221,382,417,387,317,Bad
6.46,187.3018333,224,373,428,396,326,Bad
7.61,186.8081667,227,378,425,402,307,Bad
8.12,187.0693333,226,377,421,402,295,Bad
6.83,186.8775,221,382,411,392,297,Bad
7.38,186.6271667,223,391,420,366,300,Bad
9.4,187.0741667,224,389,434,374,298,Bad
9.53,187.0501667,224,378,458,378,296,Bad
7.08,181.4026667,224,369,460,394,288,Bad
6.55,164.3286667,226,378,476,374,276,Bad
7.82,162.986,228,378,497,311,264,Good
9.9,160.0441667,228,387,516,328,251,Good
7.58,160.0515,229,391,525,368,237,Good
7.32,159.909,228,393,539,377,226,Good
7.02,160.3651667,226,388,536,377,236,Good
6.79,160.2941667,227,386,535,363,252,Good
6.8,159.915,233,384,537,381,264,Good
9.24,159.6956667,230,366,527,396,263,Good
7.15,160.1753333,231,349,525,346,267,Good
7.03,160.4306667,232,341,533,387,274,Good
6.68,159.7591667,249,327,533,370,282,Good
6.54,153.3906667,256,311,529,345,278,Good
6.62,149.9765,242,317,526,339,253,Good
6.3,150.3715,224,320,522,347,230,Good
8.45,150.4016667,220,325,526,363,235,Good
6.61,172.5618333,219,345,533,370,249,Bad
6.54,178.2226667,219,334,530,377,257,Good
6.91,169.188,218,331,526,380,270,Good
5.63,159.2348333,218,347,530,380,281,Good
5.68,159.4611667,219,358,533,357,287,Good
5.9,159.1481667,221,367,541,327,289,Good
8.72,158.9495,216,369,546,303,287,Good
6.1,158.9213333,210,373,540,286,282,Good
8.76,158.9,208,362,540,264,270,Good
9.71,159.3655,214,369,547,261,258,Bad
6.36,159.0966667,220,368,545,269,248,Bad
8.78,158.8086667,229,349,546,306,245,Bad
6.13,176.834,241,343,538,356,253,Bad
6.85,190.7463333,246,353,545,355,261,Good
5.63,190.9641667,254,358,538,348,262,Good
7.17,190.8231667,283,403,521,349,266,Good
7.27,190.9913333,287,388,505,352,269,Good
6.7,190.7783333,286,387,497,361,256,Good
9.46,191.0973333,285,393,498,372,231,Good
7.5,191.1091667,284,371,510,386,214,Good
7.96,190.5935,281,356,519,389,217,Good
6.87,191.3178333,269,383,533,383,211,Good
5.07,190.9886667,261,387,532,366,206,Good
8.28,193.2185,271,404,541,343,207,Good
7.44,193.0053333,282,399,545,339,206,Good
6.21,192.9798333,285,395,535,357,194,Good
4.83,192.99,282,396,562,362,178,Good
10.3,193.0271667,273,393,558,341,186,Good
6.74,193.5343333,267,386,542,350,212,Good
5.37,193.0063333,281,395,534,354,207,Good
5.45,193.491,273,402,539,347,211,Good
6.1,192.6873333,274,397,558,346,208,Good
9.45,192.974,264,387,568,347,212,Good
5.71,168.3491667,266,390,571,344,215,Good
6,166.8371667,266,389,552,341,218,Bad
6.51,167.0035,265,392,537,315,211,Good
6.71,166.728,260,389,523,301,187,Good
6.77,166.7876667,265,385,504,309,170,Good
7.55,167.0491667,272,377,481,308,214,Good
8.35,182.672,266,362,487,319,296,Bad
7.08,184.4241667,251,360,509,323,288,Good
7.13,183.8895,234,352,524,338,271,Good
8.02,183.7756667,222,359,545,355,268,Good
6.75,184.237,217,364,556,365,274,Good
6.33,183.9003333,215,353,559,381,278,Good
7.25,184.118,218,339,559,393,285,Good
7.95,182.3056667,226,327,561,393,283,Bad
8.06,180.6378333,234,330,568,389,275,Good
9.23,180.7848333,246,349,580,386,251,Bad
7.3,180.7375,257,367,600,387,238,Bad
8.82,175.4221667,263,384,602,393,230,Bad
7.11,174.9176667,274,383,587,392,229,Bad
6.95,175.121,269,393,578,387,229,Bad
8.16,174.8601667,261,389,582,359,223,Bad
6.92,175.2871667,244,359,550,337,224,Good
8.27,175.5015,252,353,554,346,228,Good
8.15,174.6561667,239,340,553,341,230,Good
7.84,155.824,260,349,501,330,227,Good
8.57,152.5168333,283,335,433,336,226,Good
8.27,152.8851667,286,317,409,339,220,Good
7.26,153.0501667,281,308,423,333,211,Good
8.2,153.1581667,286,322,447,332,209,Good
4.41,152.7453333,289,355,466,344,206,Good
7.51,153.0421667,280,349,479,347,205,Good
5.56,152.7568333,272,344,489,338,206,Good
7.46,152.5478333,274,343,475,336,209,Good
9.49,153.1963333,271,340,462,332,211,Good
8.76,152.502,254,341,447,328,205,Good
8.73,152.3493333,232,352,440,327,209,Good
